FirstName,LastName,ProductName,OrderQuantity,Year
FERNANDO,BARNES,Water Bottle - 30 oz.,74,2017
JENNIFER,SIMMONS,Road Tire Tube,74,2017
ASHLEY,HENDERSON,Bike Wash - Dissolver,72,2017
HAILEY,PATTERSON,Touring Tire Tube,59,2017
NANCY,CHAPMAN,Patch Kit/8 Patches,54,2017
RYAN,THOMPSON,AWC Logo Cap,53,2017
CHARLES,JACKSON,LL Mountain Tire,52,2017
DANIEL,DAVIS,Road Tire Tube,48,2017
DALTON,PEREZ,"""Sport-100 Helmet, Red""",46,2017
APRIL,SHAN,Touring Tire,45,2017
HENRY,GARCIA,Road Tire Tube,44,2017
SAMANTHA,JENKINS,Patch Kit/8 Patches,40,2017
SAMANTHA,RUSSELL,"""Sport-100 Helmet, Red""",38,2017
JASON,GRIFFIN,Road Tire Tube,35,2017
EDUARDO,PATTERSON,Touring Tire Tube,34,2017
MASON,ROBERTS,"""Sport-100 Helmet, Blue""",33,2017
SARAH,SIMMONS,Water Bottle - 30 oz.,32,2017
SIERRA,YOUNG,Road Tire Tube,31,2017
JARED,PETERSON,"""Half-Finger Gloves, L""",29,2017
BRANDY,CHANDRA,"""Sport-100 Helmet, Blue""",29,2017
LUIS,DIAZ,Patch Kit/8 Patches,28,2017
LUKE,LAL,LL Mountain Tire,28,2017
JASMINE,POWELL,Patch Kit/8 Patches,28,2017
CHLOE,CAMPBELL,Hitch Rack - 4-Bike,27,2017
JADA,MORGAN,AWC Logo Cap,24,2017
MEGAN,JENKINS,ML Mountain Tire,23,2017
ANTONIO,BENNETT,Mountain Tire Tube,23,2017
NICHOLAS,BROWN,Road Tire Tube,22,2017
ISABELLA,RUSSELL,Patch Kit/8 Patches,22,2017
MARCO,LOPEZ,Road Bottle Cage,21,2017
JONATHAN,CHEN,Touring Tire Tube,21,2017
RICKY,NAVARRO,Road Bottle Cage,20,2017
SAMUEL,RUSSELL,Patch Kit/8 Patches,20,2017
JOSÉ,HERNANDEZ,"""Short-Sleeve Classic Jersey, M""",20,2017
KYLE,PHILLIPS,Patch Kit/8 Patches,19,2017
SPENCER,POWELL,Patch Kit/8 Patches,18,2017
JORDAN,TURNER,"""Road-750 Black, 44""",18,2017
KAYLEE,MITCHELL,Water Bottle - 30 oz.,18,2017
GINA,MARTIN,"""Womens Mountain Shorts, S""",18,2017
HALEY,HERNANDEZ,Mountain Tire Tube,18,2017
NINA,XIE,LL Mountain Tire,17,2017
HAILEY,COLLINS,Mountain Tire Tube,17,2017
SETH,ROBERTS,"""Half-Finger Gloves, S""",17,2017
EMILY,FLORES,Mountain Tire Tube,17,2017
OSCAR,RUSSELL,Bike Wash - Dissolver,17,2017
ZACHARY,HUGHES,Water Bottle - 30 oz.,17,2017
LACEY,HUANG,Patch Kit/8 Patches,17,2017
MATTHEW,THOMAS,Patch Kit/8 Patches,17,2017
SEAN,SANDERS,Patch Kit/8 Patches,17,2017
SEAN,NELSON,Patch Kit/8 Patches,16,2017
ANNA,BROWN,Patch Kit/8 Patches,16,2017
TAYLOR,PATTERSON,Patch Kit/8 Patches,16,2017
MIGUEL,WHITE,Road Tire Tube,16,2017
KATHERINE,PARKER,Mountain Tire Tube,16,2017
JOSE,TURNER,Road Tire Tube,16,2017
BRIAN,PETERSON,Patch Kit/8 Patches,16,2017
ANA,PERRY,"""Long-Sleeve Logo Jersey, M""",16,2017
EDWARD,MILLER,Fender Set - Mountain,16,2017
JARED,ROGERS,Water Bottle - 30 oz.,16,2017
XAVIER,THOMPSON,AWC Logo Cap,16,2017
MINDY,SHE,"""Half-Finger Gloves, L""",16,2017
SUSAN,ZHOU,Water Bottle - 30 oz.,16,2017
JASON,DIAZ,Water Bottle - 30 oz.,15,2017
ROSS,FERNANDEZ,Patch Kit/8 Patches,15,2017
ANDREW,MARTINEZ,ML Mountain Tire,15,2017
AMANDA,RIVERA,AWC Logo Cap,15,2017
SUSAN,CAI,AWC Logo Cap,15,2017
JASON,CARTER,Water Bottle - 30 oz.,15,2017
BRENDA,STONE,All-Purpose Bike Stand,15,2017
DENISE,STONE,AWC Logo Cap,15,2017
RACHAEL,SURI,"""Racing Socks, L""",15,2017
LATASHA,DOMINGUEZ,Mountain Tire Tube,15,2017
LISA,ZHU,Mountain Bottle Cage,15,2017
BRENT,ZHANG,Mountain Bottle Cage,15,2017
SARA,BAKER,AWC Logo Cap,14,2017
AARON,FOSTER,AWC Logo Cap,14,2017
NICOLAS,SHARMA,"""Half-Finger Gloves, L""",14,2017
OSCAR,PRICE,"""Half-Finger Gloves, S""",14,2017
STANLEY,WEBER,Water Bottle - 30 oz.,14,2017
JOHNATHAN,VANCE,Fender Set - Mountain,14,2017
LINDSAY,CHANDER,Water Bottle - 30 oz.,14,2017
ALBERTO,MUÑOZ,Patch Kit/8 Patches,14,2017
CRAIG,CARLSON,AWC Logo Cap,14,2017
ALVIN,ZENG,Water Bottle - 30 oz.,14,2017
ALEXIA,ROSS,AWC Logo Cap,14,2017
LATASHA,ROMERO,Water Bottle - 30 oz.,14,2017
GRACE,MARTINEZ,Water Bottle - 30 oz.,14,2017
GARRETT,BELL,Road Tire Tube,14,2017
OMAR,NARA,Water Bottle - 30 oz.,14,2017
ANGELA,POWELL,Patch Kit/8 Patches,14,2017
MORGAN,HUGHES,"""Womens Mountain Shorts, L""",14,2017
BRYAN,TOWNSEND,ML Road Tire,14,2017
KAITLYN,ADAMS,Water Bottle - 30 oz.,14,2017
KATHERINE,CARTER,Road Tire Tube,14,2017
JOSE,CARTER,Touring Tire Tube,14,2017
ALYSSA,BRADLEY,"""Half-Finger Gloves, M""",14,2017
